node,hydrostatic_stress
node_1117,43659435.3
node_1118,43608573.9
node_1119,43617252.3
node_1120,43554096.2
node_1121,43570961.0
node_1122,43498138.4
node_1123,43522296.9
node_1124,43441944.1
node_1125,43472744.0
node_1126,43386684.4
node_1127,43423702.2
node_1128,43333602.9
node_1129,43376594.5
node_1130,43284095.8
node_1131,43332878.1
node_1132,43239982.6
node_1133,43294445.0
node_1134,43078327.2
node_1135,42902702.3
node_1136,43293479.9
node_1137,43133342.7
node_1138,43452957.2
node_1139,43313674.9
node_1140,43564952.9
node_1141,43448280.3
node_1142,43637985.2
node_1143,43543441.8
node_1144,43679878.2
node_1145,43605777.7
node_1146,43697422.0
node_1147,43641536.7
node_1148,43696231.8
node_1149,43656238.6
node_1150,43680866.2
node_1151,43654586.8
node_1152,43654975.9
node_1153,43640441.9
node_1154,43621479.0
node_1155,43617027.3
node_1156,43582737.0
node_1157,43586971.3
node_1158,43540706.6
node_1159,43552486.4
node_1160,43497058.9
node_1161,43515480.0
node_1162,43453331.0
node_1163,43477649.7
node_1164,43411022.2
node_1165,43440639.5
node_1166,43371696.5
node_1167,43406150.8
node_1168,43337150.6
node_1169,43375946.0
node_1170,43309639.0
node_1171,43352237.7
node_1172,43009433.7
node_1173,42879245.8
node_1174,43201789.9
node_1175,43077861.8
node_1176,43351368.0
node_1177,43239448.5
node_1178,43462444.3
node_1179,43365493.8
node_1180,43540374.8
node_1181,43459343.0
node_1182,43590690.6
node_1183,43525264.7
node_1184,43618564.6
node_1185,43567703.2
node_1186,43628593.4
node_1187,43590896.6
node_1188,43624687.2
node_1189,43598686.2
node_1190,43610183.7
node_1191,43594425.2
node_1192,43587856.3
node_1193,43581012.7
node_1194,43560070.0
node_1195,43560962.7
node_1196,43528862.0
node_1197,43536453.2
node_1198,43496051.8
node_1199,43509449.0
node_1200,43463344.6
node_1201,43481761.9
node_1202,43432464.6
node_1203,43455169.7
node_1204,43405201.0
node_1205,43431533.8
node_1206,43383598.3
node_1207,43412822.7
node_1208,43370163.0
node_1209,43401405.3
node_1210,42984642.0
node_1211,42890861.5
node_1212,43152183.5
node_1213,43058967.6
node_1214,43287464.1
node_1215,43200176.2
node_1216,43392246.2
node_1217,43314189.9
node_1218,43469615.9
node_1219,43402492.5
node_1220,43523273.5
node_1221,43467609.4
node_1222,43557006.8
node_1223,43512558.0
node_1224,43574405.7
node_1225,43540504.5
node_1226,43578762.1
node_1227,43554466.2
node_1228,43572937.0
node_1229,43557258.6
node_1230,43559505.5
node_1231,43551425.9
node_1232,43540710.4
node_1233,43539253.2
node_1234,43518566.1
node_1235,43522831.0
node_1236,43494937.9
node_1237,43504066.5
node_1238,43471618.7
node_1239,43484802.2
node_1240,43450412.8
node_1241,43466854.1
node_1242,43433261.9
node_1243,43452159.9
node_1244,43422313.7
node_1245,43442722.3
node_1246,43420211.8
node_1247,43441001.9
node_1248,42991272.0
node_1249,42926345.8
node_1250,43134388.0
node_1251,43066703.8
node_1252,43253490.4
node_1253,43187694.5
node_1254,43348835.0
node_1255,43288124.1
node_1256,43421978.0
node_1257,43368309.0
node_1258,43475242.6
node_1259,43429599.8
node_1260,43511306.8
node_1261,43473976.1
node_1262,43532897.9
node_1263,43503692.6
node_1264,43542663.6
node_1265,43521091.5
node_1266,43543056.5
node_1267,43528457.6
node_1268,43536346.4
node_1269,43527977.0
node_1270,43524589.5
node_1271,43521675.1
node_1272,43509712.2
node_1273,43511467.0
node_1274,43493526.5
node_1275,43499172.2
node_1276,43477832.8
node_1277,43486557.0
node_1278,43464458.5
node_1279,43475414.3
node_1280,43455341.3
node_1281,43467655.2
node_1282,43452655.8
node_1283,43465244.3
node_1284,43459030.2
node_1285,43470573.4
node_1286,43020008.1
node_1287,42977893.8
node_1288,43140308.4
node_1289,43093631.7
node_1290,43242893.2
node_1291,43195510.9
node_1292,43327182.8
node_1293,43281951.9
node_1294,43393760.7
node_1295,43352626.8
node_1296,43443985.0
node_1297,43408134.5
node_1298,43479682.9
node_1299,43449680.3
node_1300,43502880.1
node_1301,43478870.4
node_1302,43515667.0
node_1303,43497455.6
node_1304,43520076.8
node_1305,43507289.9
node_1306,43518070.2
node_1307,43510177.6
node_1308,43511489.9
node_1309,43507881.2
node_1310,43502113.3
node_1311,43502136.2
node_1312,43491645.8
node_1313,43494586.9
node_1314,43481807.7
node_1315,43486892.7
node_1316,43474369.0
node_1317,43480747.2
node_1318,43471199.0
node_1319,43477935.8
node_1320,43474407.2
node_1321,43480339.1
node_1322,43486461.6
node_1323,43490188.6
node_1324,43064174.7
node_1325,43040161.1
node_1326,43163742.1
node_1327,43134311.7
node_1328,43250316.6
node_1329,43218566.9
node_1330,43322910.3
node_1331,43291286.5
